,,,Race & ethnicity,,Nationality,,,,,Occupation,,,,,,Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,HDzSV,"I don't have a connection to immigration, but all of my friends who do are against illegal immigration, so I'll take their word for it that people should actually try to come here legally",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,kEIIT,"I don't have a single problem with undocumented immigrants. The only reason they exist is because the U.S. has such a stupid immigration system that they didn't have the choice to come legally. Also, a look through at America's foreign policy actions throughout history show that we've created or helped create a lot of the conditions that push immigrants from their home country to ours.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T4,AgnPF,I don't have atypical view because there are so many immigrants from so many places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T4,UOzUA,I don't judge undocumented citizens as there is probably a reason they are undocumented.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,aqm90,"I don't know much about the average illegal immigrant. I assume they are more hardworking than lazy because they did the work to get here, however I don't know anything about their honesty, trustworthiness or certainly any negative characteristics, just that they would prefer to take their chances here.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,ImO4g,I don't really have positive feeling about the undocumented immigrant because I believe that it's illegal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,rd7Z4,"I don't really know what a ""typical illegal immigrant"" means. This really strikes me as a loaded question. There is no ""typical"" illegal immigrant. Some are white people from europe who are just business professionals, some come from Asia or South american countries of many different races. What a ridiculous question this is. I don't make any judgements of someone simply based off the fact that they are not a citizen and are here ""illegally"". I leave those judgements until i know them as a person. The only thing I will say is to assign them bad values is something I disagree with because I do not think people are inherently bad, and all people are hardworking in one way or another. The rest are middle because you cannot just make a judgement based on if someone is illegal. Who am I to know? My grandmother was illegal, but that does not mean she was automatically honest or lazy and no one should view her those ways simply because of no citizenship.",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
T3,Wvmv5,I don't think I could make such generalizations.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T2,4dMaH,"I don’t have a strong opinion on illegal immigrants- I think it should be easier to become a US citizen, so we don’t have such a difficult time with this issue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T6,yEMhG,I don‚Äôt really have an opinion as long as they are good individual people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,eXeZy,I dont have many opinions on this topic. I can see both sides and can see that these people want a better life but also understand that the actions are illegal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,GtIfj,"I feel as though illegal immigrants are put into a situation where they have to leave their home because of violence and other social instabilities. Most of them are hardworking individuals who are trying to provide a good life for their children. Although they are breaking the law, there needs to be a system where becoming a citizen would be easier.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
T4,szIQa,"I feel as though there is space for them and welcome them, I do however wish they would do something to work towards citizenship.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T6,WsVUB,I feel like immigrants are important and should be valued because they are the ones that make the US diverse.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T2,jRnZw,I feel like it is impossible to try and describe the typical characteristics of undocumented people given that the term includes people with a diversity of characteristics and experiences.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T5,OadM4,"I feel like it's a hard topic to have a thorough understanding of because there's so many different factors going into this specific issue. Personally, I believe illegal immigrants shouldn't be granted the rights of regular citizens or of immigrants that got here legally. But at the same time I think the immigration process should be easier for those who really need to come into our country to do so.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T3,NVn04,I feel like most illegal immigrants are really only looking for a better life for themselves and their families.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,7BTKY,"I feel like people who are characterized as ""illegal"" immigrants are hardworking honest people who are only coming into the US to find SAFER lives. Many of the Middle Eastern and Latino immigrant coming into the US are in danger in their home countries. No one wants to leave everything they know and everyone they love and uproot their lives to move to a new and hostile nation, unless they felt that their and their familes' lives were in danger.",1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T6,zZTqa,I feel like the typical undocumented immigrant is a hard-working person who came here to find a better life for their family. They are probably working multiple jobs or very long hours to make money to support their family.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,u8JwB,"I feel like the typical undocumented immigrant is very hardworking. They are not bad, immoral people. They are just searching for a better life for themselves/their families.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,4qFar,I feel like they are people who are very desperate to get away from their home country even if it is illegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T4,PjmKY,I feel like they should come to this country legally.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,Z6cUL,I feel like undocumented immigrants are forced into their circumstances and I feel sorry for them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,4wC0I,I feel most undocumented immigrants come to the United States for better opportunity. I also feel that we mostly hear about undocumented citizens that come from southern North American countries.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,L8ZpH,"I feel that like that illegal immigrants are generally good decent people who happen to come from poverty-stricken and crime-ridden areas. I would prefer them to enter legally and feel a strong attachment to the USA, but I also understand that they may be desperate for better life prospects and that is their number one concern.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T3,ed9Ub,I feel that they should be able to come here with open arms and help with the process.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,fwjkj,I feel that undocumented immigrants are very hardworking and are just looking for a new life. They come from violent countries and just want a better life for their families.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T4,En626,I feel that while they are breaking the law they should be helped though the documenting process instead of treated like criminals.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,dkOb7,"I find myself subconsciously feeding into stereotypes that describe ""illegal immigrants"" but in many positive ways. I often think of hardworking parents who want better lives for themselves and their children. I also think of many individuals who are qualified and well-respected in many ways but simply cannot get their green cards because the current system granting them makes it very difficult to do so.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
T2,nDaw5,I find undocumented immigrants to be hard working and loyal.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,WPJ4i,"I hate the labels and stereotypes that are associated when people think of the word ""immigrant."" It really is unjust to judge a person based on their legal status and whether or not they're an immigrant shouldn't have to define who they are. When I think of an illegal immigrant, I think about someone who is hardworking and trying to achieve the American dream.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
T6,Sypvz,"I have a lot of empathy toward undocumented immigrants. I view them as hard working, determined and strong individuals who are fleeing from violence and instability in their home countries. I think that they are very courageous and come to this country in the hopes of finding peace, and better opportunities for themselves and their families",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
T1,H6T3M,i have no feelings towards immigrants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,M9tn3,"I have no hate towards undocumented immigrants. My parents both legally immigrated here from the Philippines in hopes for a better life for my sibling and me. I have empathy for undocumented immigrants because in a lot of cases, they only seek for a better future for their family. I believe that they do not steal jobs because most of the jobs undocumented immigrants can get are ones that no one strives for. I wish it was easier for people to become legal citizens in the U.S. because then there wouldn't be as much undocumented ones. I wish my family from the Philippines can come here, but the immigration process is so difficult.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
T6,spv2R,I have no idea on them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,t5R4w,I have no issues with undocumented immigrants. I feel that all people have the right to leave their country of origin for a better life elsewhere. This being said I also believe that a country has a right to deny those looking to come in if they are a threat to the society. There is a fine line and it must be walked very carefully.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,dI2C3,I have no problem with illegal immigrants. I think they are brave and searching to better their lifestyle and potentially their family's too.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
T4,YVgr8,I have no view exact they should be given equal opportunities to live a good life in America without having to worry about being deported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,Fyx6l,"I have no view on them, they are both good and bad, some are educated and other are not. I just care if they abuse the systems in place.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,gMRRE,I have nothing to elaborate her.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,yDf7v,I have sympathy for the plight of undocumented immigrants but the law is more important than emotions.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,iouKO,I just think they are like anyone else in our country. Some have had good education and some have not. Some are good people and some are not. It has nothing to do with their immigration status and more to do with their personality and character.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T5,a5de9,"I look at illegal imiigrants with a broader view; no two are the same, maybe with similar circumstances, but thats all. To me a typical illegal immigrant is loyal, hardworking, and responsible. They take on jobs here where they work endlessly to try and provide a better life for their loved ones. They fled a bad situation to try and help their families, that is acting as responsible as one can in a situation from my point of view. For the family they couldn't bring with them they send money back or try different ways to help them, that's loyalty. Education depends on the person, I believe that it doesn't matter if they are educated or not because we can aid those who are uneducated and help with schooling; create programs or such.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
T1,uuT2p,"I maintain a negative attitude towards illegal immigration as a whole. But if they come to my country, don’t make troubles and live a good life, I don’t have any particular opinions.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,AjCm4,"I personally view undocumented individuals in a very high esteem. They are some of the most honest, hardworking, and down to earth people I have met.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T1,eBnKQ,"I put neutral for some questions, because such internal characteristics are hard to assume for an entire community. I feel as if most immigrants are hardworking since they come to the US to make a better live for themselves and their families.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
T5,gBxLE,"I see ""illegal"" immigrants as people who want to come to a new country to find better opportunities for themselves and their family.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,3r2uT,I see them as just a regular american citizen. most of us came here as illegal immigrants in history so it is hard for us to talk poorly on them.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
T5,fT5iM,I see typical illegal immigrants as people who have no choice but to run from the situation they previously found themselves in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T4,vVGVJ,"I tend to have very liberal views with regards to undocumented immigrants. I believe that the US is a great place for people to start prosperous lives and that immigrants also see it this way, which is why many of them come here for work and asylum. I believe that undocumented immigrants, for the most part, are very hardworking individuals and work many undesirable jobs that most natural-born Americans would not necessarily want to do. I do think that the goal of every undocumented immigrant should be to one day become a citizen. Overall, I have a positive view of undocumented immigrants.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
T4,Z1U2L,I think a typical undocumented immigrant worked very hard to get where they are. They are willing to learn what they need to to be a loyal citizen and they are good people.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,iSTDi,"I think everyone deserves a chance and I do not think I could describe a ""typical immigrant""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T1,rocsT,I think illegal immigrants should be advised to give themselves up to get paperwork so they can live a legal life.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T3,jhcZS,I think illegal immigrants tend to be very hardworking people but I do not think much of their abilities.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,GsqYm,"I think it is wrong for illegal immigrants to be demonized in the way that they currently are in this country. This country was built by immigrants and many of them are extremely hard working and just want a better life for themselves and their family. I don't think that a human can be ""illegal"". If they are not harming others, there should not be a problem with them trying to start over in a new country. I think that this country needs some serious immigration reform and a huge reality check on how racist it truly is. I think that many people feel threatened by immigrants because of implicit (sometimes very explicit) biases especially when it comes to immigrants from country that aren't predominantly white or christian.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
T2,9ePRI,I think many undocumented immigrants come from unfortunate circumstances and do not have the time or luxury of going through the formal process to become citizens.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T5,yuwfV,I think most come for work and are good honest people.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,cd0ul,I think of a person who has left their native country because of a non ideal situation and has come to a new country in order to either work or seek asylum. They are often trying to provide for their family.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T5,9uRPg,I think people who travel to the USA illegally are trying to make a better life for themselves. They should be allowed in our country.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,e5yKF,"I think that a lot of them can be very hardworking and take jobs that no one else wants. There have been stories though of undocumented immigrants drinking and driving and killing people or robbing stories, and a lot of people point out that the should not happen since they should not be here. I think that with every group there are flaws, but they are more pointed out with undocumented people since they are not here legally.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,NmydP,I think that I have a relatively favorable view of the typical illegal immigrant.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,cWtzz,I think that immigrants are just as any other person disregarding their status as an immigrant. They may not be able to get a higher education because of federal loans but their character is not defined by the fact that they are an immigrant.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,51iEV,I think that immigrants are some of the most hardworking people.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,6vIkm,I think that people make assumptions on undocumented immigrants just as they would make assumptions on other stereotyped groups. I think that this is unfair and you cannot generalize a group of people this large.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T1,BNQLw,I think that there needs to be a solution for the people who are here and people need to start coming legally.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,9G5Ns,"I think that they are decent people looking for better lives, but they need to come into the country the right way. That is why I put unlawful as rather high.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,NfwRf,"I think that they are very hard working, loyal, and misunderstood.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,77wpE,"I think that they came illegally only because they needed to, and that the US immigration policy is too strict. They are hardworking and want to provide for their families to live a better life.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
T3,ws1Xz,"I think that they come to this country escaping poverty, corruption, or other things. If someone is willing to risk their life to leave their country it has to be for a reason. I think they are hardworking because they come and do jobs no one else will do for the bare minimum. I have very high views of working immigrants.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
T3,qHWPv,I think that they don't have bad intentions but should not have come to the country illegally.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,M9J5s,"I think that they're hardworking and family-focused people who want to try for a better life. Very friendly, care about the country and the people they know, are grateful for the opportunities they have here.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,fTCsz,I think that they're usually people who are looking to have a better life and can't as easily as others due to the struggle of being able to become a U.S citizen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
T2,2lW9X,"I think that undocumented immigrants are all unique. Some seek political refuge, and I understand that US citizenship is hard to get but illegal immigration could potentially harm them more than help them. The punishment they could face from their government could be bad. But also, perhaps they weren't safe in their own. I think there need to be better institutions in place for immigration, but Americans need to be more sympathetic and less dehumanizing. You don't know everyone's story. If they're coming here though, I wish they would contribute to the economy and make a life for themselves! It would be good for them and us, but I understand that it's hard to start a life in a new country",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
T5,gMVb3,"I think that when I think of a typical illegal immigrant, I picture them to be someone who has sought to make a better life for themself and is very hardworking and driven.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,GpH96,I think the typical illegal immigrant is hardworking and a a valuable part of this country.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
T3,gUt4x,"I think the typical illegal immigrant is very hardworking, honest, and loyal because they are coming here to try and build a better life. They understand that it is going to take hard work and determination and still they are willing to risk everything to start again.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
T1,ibiO2,"I think the typical immigrant is very hardworking, and I think thats they best word to generally describe all immigrants with. These people have to work hard in order to serve in a new country, since most people move to a new country when they don't have much. First generations are typically uneducated but that is also based on my personal knowledge and experiences, as are all my answers to this survey. Lastly, they seem to work hard for the people that they love.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T6,lyXyh,"I think the typical undocumented immigrant is someone that is looking for a better life for themselves and their families. They are looking to pursue the American Dream, but they are unable to accomplish this through legal means.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
T4,YxcgD,"I think the typical undocumented immigrant truly just wants to build a better life for themselves and their families. The legal process for obtaining citizenship is hard and complicated, and takes a long time. The same goes to applying for asylum - these immigrants are hardworking and usually take the jobs that Americans don‚Äôt want to do, and they work hard at them. Also, it‚Äôs dope as hell to be able to move to a new country and learn a new language - I would be terrified and it‚Äôs impressive and admirable.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
T4,YsGZd,I think the words that can be associated with undocumented immigrants depends on the situation they were in that forced them to come here. There are a wide variety of different reasons other than stereotypes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T5,Po4Nk,I think they are hardworking people that are willing to do anything to live a better life,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,zNpEm,"I think they are typically very hard-working and trying to better their families situations. However, they are still breaking the law.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,0tPTP,I think they're humans and it's unfair to treat them badly.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,WXQpx,I think they're just trying to forge a better life for themselves and their families and I can't fault anyone for that.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,3yLqx,I think undocumented immigrants are extremely hardworking and shape what America should be all about-giving people an opportunity to build their lives freely.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T6,79abi,i think undocumented immigrants are here to have access to the resources and stability that the US offers and to put yourself and your family through the potential danger means we should welcome and try to help them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
T6,CSIjf,"I think undocumented immigrants are lawful, honest, hardworking, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,2Vdn8,"I think undocumented immigrants come here for a reason. That reason is not necessarily nefarious. They are usually just looking for a better life. Judging any of the previous characteristics off just their immigration status is not fair. Like anyone else it is a perosn to person thing. You can't judge someone's character just by their immigration status. Except that they are probably hard working, as they are trying to do good for their family.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
T2,qt0wt,I think undocumented immigrants the vast majority of the time come from difficult situations in their home countries and are just trying to make a better life for their families. I think they are very hardworking and usually don't have many other options.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
